Team,Number,Unit,Min,Off,Offensive Rating,Def,Defensive Rating,Net ,PlusMinus,W,L,WinPerc
DAL,3, Collison  Mayo  Marion  Nowitzki  Kaman,160.8,0.97,97,1.06,106,-9,26,7,12,36.8
DAL,4, M.James  Mayo  Marion  Nowitzki  Kaman,111.5,1,100,1.03,103,-3,6,5,7,41.6
DAL,5, Collison  Mayo  Marion  Nowitzki  James,105.2,1.04,104,1.04,104,0,4,4,5,44.4
DAL,6, Collison  Mayo  Carter  Marion  Wright,103.9,1.08,108,0.93,93,15,27,11,15,42.3
DAL,7, Collison  Mayo  Carter  Nowitzki  Brand,91.9,1.04,104,1.06,106,-2,3,11,14,44
DAL,8, Collison  Mayo  Carter  Wright  Brand,86.7,1.06,106,1.12,112,-6,2,7,10,41.1
DAL,9, Collison  Mayo  Marion  Nowitzki  Brand,85.3,1,100,1.21,121,-21,33,9,11,45
DAL,10, M.James  Mayo  Crowder  Nowitzki  Kaman,73.1,0.96,96,1.11,111,-15,23,2,7,22.2
DAL,11, Collison  Mayo  Da.Jones  Marion  Kaman,69.4,0.98,98,1.16,116,-18,29,4,8,33.3
DAL,12, M.James  Mayo  Marion  Nowitzki  Wright,57.5,1.23,123,1.1,110,13,11,5,3,62.5
DAL,13, Collison  Mayo  Carter  Nowitzki  Wright,54.7,1.28,128,1.17,117,11,18,12,7,63.1
DAL,14, Collison  Mayo  Marion  Wright  Brand,54.3,1.03,103,1.02,102,1,2,3,2,60
DAL,15, M.James  Carter  Crowder  Nowitzki  Brand,52.2,1.26,126,0.93,93,33,32,6,4,60
DAL,16, Fisher  Mayo  Da.Jones  Marion  Kaman,51.1,1.12,112,1.11,111,1,0,4,2,66.6
DAL,17, Collison  Mayo  Marion  Brand  Kaman,45.1,0.76,76,1,100,-24,24,1,4,20
DAL,18, Collison  Carter  Crowder  Nowitzki  Wright,44.4,1.14,114,0.91,91,23,24,7,3,70
DAL,19, M.James  Mayo  Crowder  Nowitzki  Brand,40,1.23,123,0.99,99,24,18,8,3,72.7
DAL,20, Collison  Mayo  Crowder  Wright  Brand,38.5,0.93,93,1.15,115,-22,21,2,5,28.5
DEN,1, Lawson  Iguodala  Gallinari  Faried  Koufos,795,1.1,110,1.03,103,7,100,31,26,54.3
DEN,2, A.Miller  Iguodala  Brewer  Chandler  McGee,139.1,0.97,97,0.91,91,6,28,16,10,61.5
DEN,3, A.Miller  Iguodala  Gallinari  Faried  Koufos,116.3,1.16,116,1.05,105,11,24,8,6,57.1
DEN,4, Lawson  Iguodala  Gallinari  Faried  McGee,108.8,1.07,107,1.17,117,-10,20,14,18,43.7
DEN,5, Lawson  A.Miller  Iguodala  Gallinari  Faried,104.8,1.24,124,1.07,107,17,36,16,9,64
DEN,6, Lawson  A.Miller  Brewer  Chandler  McGee,94.1,1.03,103,1.15,115,-12,24,9,10,47.3
DEN,7, A.Miller  Iguodala  Brewer  Faried  McGee,78.3,1.04,104,0.98,98,6,7,14,15,48.2
DEN,8, A.Miller  Brewer  Chandler  Gallinari  McGee,75,1.11,111,0.99,99,12,20,8,11,42.1
DEN,9, Lawson  Iguodala  Chandler  Gallinari  Koufos,73.5,1.13,113,1.05,105,8,10,10,9,52.6
DEN,10, A.Miller  Iguodala  Brewer  Gallinari  McGee,61.2,1.18,118,1.04,104,14,19,10,9,52.6
DEN,11, Lawson  Iguodala  Brewer  Gallinari  Faried,60.5,1.17,117,1.1,110,7,5,8,13,38
DEN,12, Lawson  A.Miller  Brewer  Gallinari  Faried,55.9,1.09,109,0.88,88,21,30,13,9,59
DEN,13, Lawson  Iguodala  Brewer  Faried  Koufos,49.5,1.29,129,1.13,113,16,14,10,7,58.8
DEN,14, Lawson  A.Miller  Iguodala  Gallinari  Koufos,47.3,1.24,124,1.09,109,15,26,9,5,64.2
DEN,15, Lawson  Iguodala  Brewer  Chandler  McGee,46.9,1.24,124,1.16,116,8,4,11,10,52.3
DEN,16, Lawson  Iguodala  Brewer  Gallinari  Koufos,42.3,1.08,108,0.95,95,13,14,8,7,53.3
DEN,17, A.Miller  Iguodala  Chandler  Faried  Koufos,40.9,0.92,92,1.25,125,-33,25,0,3,0
DEN,18, A.Miller  Fournier  Hamilton  Randolph  Mozgov,39.8,1.06,106,0.99,99,7,4,5,5,50
DEN,19, Lawson  Fournier  Iguodala  Chandler  Koufos,39.8,1.3,130,0.93,93,37,36,3,0,100
DEN,20, Lawson  A.Miller  Brewer  Faried  McGee,37.5,1.09,109,1.36,136,-27,25,4,8,33.3
DET,1, Knight  Singler  Prince  Maxiell  Monroe,606.1,1.05,105,1.03,103,2,22,20,20,50
DET,2, Knight  Stuckey  Prince  Maxiell  Monroe,265.1,0.97,97,1.08,108,-11,61,10,19,34.4
DET,3, Calderon  Knight  Singler  Maxiell  Monroe,226.3,1,100,1.05,105,-5,23,7,8,46.6
DET,4, Knight  Stuckey  Singler  Monroe  Drummond,116.4,1.05,105,1.14,114,-9,19,3,8,27.2
DET,5, Calderon  Stuckey  Singler  Maxiell  Monroe,113.1,0.86,86,1.16,116,-30,62,2,10,16.6
DET,6, Bynum  Stuckey  Daye  Villanueva  Drummond,96.5,1.16,116,1.16,116,0,5,5,8,38.4
DET,7, Stuckey  Singler  Maggette  Villanueva  Drummond,71.3,1.18,118,1.14,114,4,5,5,5,50
DET,8, Knight  Stuckey  Prince  Monroe  Drummond,68.7,1.05,105,0.97,97,8,7,8,10,44.4
DET,9, Knight  Stuckey  Singler  Maxiell  Monroe,63.1,1.02,102,1.03,103,-1,0,4,6,40
DET,10, Calderon  Knight  Singler  Monroe  Drummond,56.1,0.93,93,1.15,115,-22,24,1,4,20
DET,11, Calderon  Stuckey  Singler  Jerebko  Monroe,45.4,1.09,109,1.13,113,-4,2,4,4,50
DET,12, Bynum  English  Singler  Jerebko  Drummond,45.2,1.12,112,1.12,112,0,2,4,2,66.6
DET,13, Bynum  Singler  Daye  Villanueva  Drummond,39.1,1.24,124,0.79,79,45,36,4,2,66.6
DET,14, Stuckey  Singler  Prince  Maxiell  Monroe,36.1,1,100,1.05,105,-5,5,6,5,54.5
DET,15, Knight  Stuckey  Prince  Maxiell  Drummond,33.6,1.46,146,0.95,95,51,25,6,4,60
DET,16, Calderon  Knight  Stuckey  Maxiell  Monroe,33.3,1.14,114,1.08,108,6,5,5,6,45.4
DET,17, Bynum  Stuckey  Singler  Maxiell  Monroe,32.7,1,100,1.19,119,-19,13,2,6,25
DET,18, Bynum  Stuckey  Singler  Villanueva  Monroe,31.1,0.97,97,1.25,125,-28,12,3,7,30
DET,19, Calderon  Knight  Singler  Villanueva  Monroe,31.1,1.33,133,1.16,116,17,9,5,4,55.5
DET,20, Bynum  Stuckey  Singler  Jerebko  Drummond,29.1,1.13,113,1.47,147,-34,23,2,4,33.3
GSW,1, Curry  Thompson  Barnes  Lee  Ezeli,516.1,1.08,108,1.05,105,3,32,27,25,51.9
GSW,2, Curry  Thompson  Barnes  Lee  Bogut,421.5,1.07,107,1.05,105,2,10,14,14,50
GSW,3, Curry  Jack  Thompson  Landry  Lee,401.1,1.12,112,1.08,108,4,75,35,21,62.5
GSW,4, Curry  Jack  Thompson  Lee  Bogut,205,1.16,116,1.08,108,8,47,12,14,46.1
GSW,5, Curry  Thompson  Barnes  Lee  Biedrins,174.9,1.04,104,0.98,98,6,17,19,9,67.8
GSW,6, Curry  Thompson  Barnes  Landry  Lee,151.1,1.12,112,1.12,112,0,5,19,20,48.7
GSW,7, Curry  Jack  Barnes  Landry  Lee,124.6,1.17,117,1.07,107,10,28,17,17,50
GSW,8, Curry  Jack  Thompson  Lee  Ezeli,107.6,1.17,117,1.13,113,4,2,14,14,50
GSW,9, Curry  Jack  Thompson  Green  Lee,73.2,1.06,106,0.9,90,16,17,10,8,55.5
GSW,10, Curry  Jack  Thompson  Landry  Ezeli,64.1,0.93,93,1.02,102,-9,8,7,12,36.8
GSW,11, Curry  Jack  Green  Landry  Lee,63.8,1.17,117,1.07,107,10,8,10,9,52.6
GSW,12, Jack  Thompson  Barnes  Landry  Lee,63.4,0.98,98,1.1,110,-12,15,8,8,50
GSW,13, Jack  Jenkins  Green  Landry  Biedrins,58.2,0.96,96,0.96,96,0,2,7,7,50
GSW,14, Curry  Jack  Thompson  Green  Landry,54.4,0.97,97,1.19,119,-22,14,6,12,33.3
GSW,15, Jack  Jefferson  Green  Landry  Ezeli,52.3,0.95,95,1.1,110,-15,22,4,9,30.7
GSW,16, Jack  Thompson  Barnes  Lee  Bogut,43.4,1.09,109,1.01,101,8,12,4,2,66.6
